pair,attack,y_adv,target_class,target_idx,clean_asr,poison_cta,poison_asr,craft_obj,realized_linf,N_p
dog-bird,fc,5,2,430,nan,0.79878,0.0,0.20265410840511322,0.031372517347335815,25
dog-bird,fc,5,2,387,nan,0.79778,0.0,0.19039519131183624,0.031372517347335815,25
dog-bird,fc,5,2,6715,nan,0.8103199999999999,0.0,0.2070302963256836,0.031372517347335815,25
dog-bird,fc,5,2,7670,nan,0.80266,0.0,0.21665124595165253,0.031372517347335815,25
dog-bird,fc,5,2,9467,nan,0.8059,0.0,0.23187845945358276,0.031372517347335815,25
dog-bird,fc,5,2,2100,nan,0.80442,0.0,0.1980578452348709,0.031372517347335815,25
dog-bird,fc,5,2,7171,nan,0.8053799999999999,20.0,0.16695447266101837,0.031372517347335815,25
dog-bird,fc,5,2,4833,nan,0.8023000000000001,0.0,0.21134760975837708,0.031372517347335815,25
dog-bird,fc,5,2,5599,nan,0.8041,0.0,0.22622668743133545,0.031372517347335815,25
dog-bird,fc,5,2,2544,nan,0.8018599999999999,0.0,0.23201417922973633,0.031372517347335815,25
