pair,attack,pipeline,y_adv,target_class,target_idx,target_true_label,clean_cta,clean_asr,poison_cta,poison_asr,craft_obj,realized_linf,N_p
frog-airplane,gradmatch,standard,6,0,9613,4,nan,nan,0.8066800000000001,0.0,0.18876200914382935,0.031372517347335815,250
frog-airplane,gradmatch,standard,6,0,2159,8,nan,nan,0.8121599999999999,0.0,0.16136610507965088,0.031372517347335815,250
frog-airplane,gradmatch,standard,6,0,3706,4,nan,nan,0.8132400000000001,0.0,0.1228228211402893,0.031372517347335815,250
frog-airplane,gradmatch,standard,6,0,916,3,nan,nan,0.8095800000000001,20.0,0.20814770460128784,0.031372517347335815,250
frog-airplane,gradmatch,standard,6,0,3051,8,nan,nan,0.8077,0.0,0.1971118450164795,0.031372517347335815,250
frog-airplane,gradmatch,standard,6,0,5450,5,nan,nan,0.81312,20.0,0.24454796314239502,0.031372517347335815,250
frog-airplane,gradmatch,standard,6,0,8074,7,nan,nan,0.80962,0.0,0.20349246263504028,0.031372517347335815,250
frog-airplane,gradmatch,standard,6,0,3208,9,nan,nan,0.8123999999999999,0.0,0.11995971202850342,0.031372517347335815,250
frog-airplane,gradmatch,standard,6,0,3079,8,nan,nan,0.80824,0.0,0.1943901777267456,0.031372517347335815,250
frog-airplane,gradmatch,standard,6,0,4871,7,nan,nan,0.81114,0.0,0.17590099573135376,0.031372517347335815,250
