pair,attack,y_adv,target_class,target_idx,clean_asr,poison_cta,poison_asr,craft_obj,realized_linf,N_p
dog-bird,gradmatch,5,2,430,nan,0.85792,0.0,0.343292772769928,0.031372517347335815,50
dog-bird,gradmatch,5,2,387,nan,0.8509399999999999,0.0,0.327984094619751,0.031372517347335815,50
dog-bird,gradmatch,5,2,6715,nan,0.8456400000000001,60.0,0.2649676203727722,0.031372517347335815,50
dog-bird,gradmatch,5,2,7670,nan,0.85544,0.0,0.31123703718185425,0.031372517347335815,50
dog-bird,gradmatch,5,2,9467,nan,0.8567400000000001,20.0,0.2998449206352234,0.031372517347335815,50
dog-bird,gradmatch,5,2,2100,nan,0.85786,0.0,0.36627089977264404,0.031372517347335815,50
dog-bird,gradmatch,5,2,7171,nan,0.8553199999999999,0.0,0.34512245655059814,0.031372517347335815,50
dog-bird,gradmatch,5,2,4833,nan,0.84986,40.0,0.3260617256164551,0.031372517347335815,50
dog-bird,gradmatch,5,2,5599,nan,0.8544199999999998,0.0,0.27424806356430054,0.031372517347335815,50
dog-bird,gradmatch,5,2,2544,nan,0.8530599999999999,0.0,0.2905900478363037,0.031372517347335815,50
